Number,Group,Shortened_name,WRB_group,count,web_text,GeoTIFF_name,Desc_2nd_level,Alt_Description_merge,R,G,B,Image_name,Image_source_updated,Image_source_old,legend
38,Luvic Chernozems,Luvic.Chernozems,Chernozems,377,Luvic Chernozems,TAXNWRB_Luvic.Chernozems_250m_ll.tif,"Having an argic horizon that has a CEC of 24 cmolc kg-1 clay or more throughout or to a depth of 50 cm below its upper limit, whichever is shallower, either starting within 100 cm of the soil surface or within 200 cm of the soil surface if the argic horizon is overlain by loamy sand or coarser textures throughout, and a base saturation (by 1 M NH4OAc) of 50 percent or more in the major part between 50 and 100 cm from the soil surface.","Chernozems = Soils with deep, very dark surface soils and carbonate enrichment in the subsoil that occur in the steppe zone between the dry climates and the humid Temperate Zone. This transition zone has a climax vegetation of ephemeral grasses and dry
forest. Having an argic horizon that has a CEC of 24 cmolc kg-1 clay or more throughout or to a depth of 50 cm below its upper limit, whichever is shallower, either starting within 100 cm of the soil surface or within 200 cm of the soil surface if the argic horizon is overlain by loamy sand or coarser textures throughout, and a base saturation (by 1 M NH4OAc) of 50 percent or more in the major part between 50 and 100 cm from the soil surface.",229,216,92,Luvic_Chernozem.jpg,Profielenfolder.jpg,Profielenfolder.jpg,"38,229,216,92,255,Luvic Chernozems"
39,Haplic Cryosols,Haplic.Cryosols,Cryosols,1657,Haplic (undetermined) Cryosols,TAXNWRB_Haplic.Cryosols_250m_ll.tif,Other diagnostic horizons might occur but have not been recorded.,"Cryosols = Soils of permafrost regions. These soils show signs of ‘cryoturbation’ (i.e. disturbance by freeze-thaw sequences and ice segregation) such as irregular or broken soil horizons and organic matter in the subsurface soil, often concentrated along the top of the permafrost table. Other diagnostic horizons might occur but have not been recorded.",146,125,158,Cryosol.jpg,Soil taxonomy folder (massive storage),Soil taxonomy folder (massive storage),"39,146,125,158,255,Haplic Cryosols"
40,Turbic Cryosols,Turbic.Cryosols,Cryosols,183,Turbic Cryosols,TAXNWRB_Turbic.Cryosols_250m_ll.tif,"Having cryoturbation features (mixed material, disrupted soil horizons, involutions, organic intrusions, frost heave, separation of coarse from fine materials, cracks or patterened ground) at the soil surface or above a cryic horizon and within 100 cm of the soil surface.","Cryosols = Soils of permafrost regions. These soils show signs of ‘cryoturbation’ (i.e. disturbance by freeze-thaw sequences and ice segregation) such as irregular or broken soil horizons and organic matter in the subsurface soil, often concentrated along the top of the permafrost table. Having cryoturbation features (mixed material, disrupted soil horizons, involutions, organic intrusions, frost heave, separation of coarse from fine materials, cracks or patterened ground) at the soil surface or above a cryic horizon and within 100 cm of the soil surface.",122,124,136,Turbic_Cryosol.jpg,TAXGWRB_lacking_selection,,"40,122,124,136,255,Turbic Cryosols"
41,Vitric Cryosols,Vitric.Cryosols,Cryosols,13,Vitric Cryosols,TAXNWRB_Vitric.Cryosols_250m_ll.tif,"Vitric properties (from Latin vitrum, glass) apply to layers with volcanic glass and other primary minerals derived from volcanic ejecta and which contain a limited amount of short-range-order minerals.","Cryosols = Soils of permafrost regions. These soils show signs of ‘cryoturbation’ (i.e. disturbance by freeze-thaw sequences and ice segregation) such as irregular or broken soil horizons and organic matter in the subsurface soil, often concentrated along the top of the permafrost table. Vitric properties (from Latin vitrum, glass) apply to layers with volcanic glass and other primary minerals derived from volcanic ejecta and which contain a limited amount of short-range-order minerals.",158,140,125,Cryosol.jpg,Soil taxonomy folder (massive storage),Soil taxonomy folder (massive storage),"41,158,140,125,255,Vitric Cryosols"
42,Petric Durisols,Petric.Durisols,Durisols,39,Petric Durisols,TAXNWRB_Petric.Durisols_250m_ll.tif,Having a strongly cemented or indurated layer starting within 100 cm of the soil surface.,Durisols = Soils of (semi-)arid regions with a layer or nodules of soil material that is cemented by silica. Having a strongly cemented or indurated layer starting within 100 cm of the soil surface.,250,235,198,Durisol.jpg,Soil taxonomy folder (massive storage),Soil taxonomy folder (massive storage),"42,250,235,198,255,Petric Durisols"
43,Acric Ferralsols,Acric.Ferralsols,Ferralsols,376,Acric Ferralsols,TAXNWRB_Acric.Ferralsols_250m_ll.tif,"Having an argic horizon that has a CEC (by 1 M NH4OAc) of less than 24 cmolc kg-1 clay in some part to a maximum depth of 50 cm below its upper limit, either starting within 100 cm of the soil surface or within 200 cm of the soil surface if the argic horizon is overlain by loamy sand or coarser textures throughout, and a base saturation (by 1 M NH4OAc) of less than 50 percent in the major part between 50 and 100 cm from the soil surface.","Ferralsols = Soils of wet (sub-)tropical regions that have a very low cation exchange capacity and are virtually devoid of weatherable minerals. Having an argic horizon that has a CEC (by 1 M NH4OAc) of less than 24 cmolc kg-1 clay in some part to a maximum depth of 50 cm below its upper limit, either starting within 100 cm of the soil surface or within 200 cm of the soil surface if the argic horizon is overlain by loamy sand or coarser textures throughout, and a base saturation (by 1 M NH4OAc) of less than 50 percent in the major part between 50 and 100 cm from the soil surface.",252,137,77,Acric_Ferralsol.jpg,Profielenfolder.jpg,Profielenfolder.jpg,"43,252,137,77,255,Acric Ferralsols"
44,Haplic Ferralsols,Haplic.Ferralsols,Ferralsols,1904,Haplic (undetermined) Ferralsols,TAXNWRB_Haplic.Ferralsols_250m_ll.tif,Other diagnostic horizons might occur but have not been recorded.,Ferralsols = Soils of wet (sub-)tropical regions that have a very low cation exchange capacity and are virtually devoid of weatherable minerals. Other diagnostic horizons might occur but have not been recorded.,252,156,77,Acric_Ferralsol.jpg,Profielenfolder.jpg,Profielenfolder.jpg,"44,252,156,77,255,Haplic Ferralsols"
45,Haplic Ferralsols (Rhodic),Haplic.Ferralsols..Rhodic.,Ferralsols,125,Haplic (undetermined) Ferralsols (Rhodic),TAXNWRB_Haplic.Ferralsols..Rhodic._250m_ll.tif,"Having within 150 cm of the soil surface a subsurface layer, 30 cm or more thick, with a Munsell hue redder than 5 YR (3.5 YR or redder), a value, moist, of less than 3.5 and a value, dry, no more than one unit higher than the moist value. Other diagnostic horizons might occur but have not been recorded.","Ferralsols = Soils of wet (sub-)tropical regions that have a very low cation exchange capacity and are virtually devoid of weatherable minerals. Having within 150 cm of the soil surface a subsurface layer, 30 cm or more thick, with a Munsell hue redder than 5 YR (3.5 YR or redder), a value, moist, of less than 3.5 and a value, dry, no more than one unit higher than the moist value. Other diagnostic horizons might occur but have not been recorded.",227,105,64,Rhodic_Ferralsol.jpg,Profielenfolder.jpg,Profielenfolder.jpg,"45,227,105,64,255,Haplic Ferralsols (Rhodic)"
46,Haplic Ferralsols (Xanthic),Haplic.Ferralsols..Xanthic.,Ferralsols,148,Haplic (undetermined) Ferralsols (Xanthic),TAXNWRB_Haplic.Ferralsols..Xanthic._250m_ll.tif,"Having a ferralic horizon that has in a subhorizon, 30 cm or more thick within 150 cm of the soil surface, a Munsell hue of 7.5 YR or yellower and a value, moist, of 4 or more and a chroma, moist, of 5 or more. Other diagnostic horizons might occur but have not been recorded.","Ferralsols = Soils of wet (sub-)tropical regions that have a very low cation exchange capacity and are virtually devoid of weatherable minerals. Having a ferralic horizon that has in a subhorizon, 30 cm or more thick within 150 cm of the soil surface, a Munsell hue of 7.5 YR or yellower and a value, moist, of 4 or more and a chroma, moist, of 5 or more. Other diagnostic horizons might occur but have not been recorded.",252,147,77,Xanthic_Ferralsol.jpg,Profielenfolder.jpg,Profielenfolder.jpg,"46,252,147,77,255,Haplic Ferralsols (Xanthic)"
47,Umbric Ferralsols,Umbric.Ferralsols,Ferralsols,200,Umbric Ferralsols,TAXNWRB_Umbric.Ferralsols_250m_ll.tif,"The umbric horizon (from Latin umbra, shade) is a thick, dark-coloured, base-depleted surface horizon rich in organic matter.","Ferralsols = Soils of wet (sub-)tropical regions that have a very low cation exchange capacity and are virtually devoid of weatherable minerals. The umbric horizon (from Latin umbra, shade) is a thick, dark-coloured, base-depleted surface horizon rich in organic matter.",245,150,65,Acric_Ferralsol.jpg,Profielenfolder.jpg,Profielenfolder.jpg,"47,245,150,65,255,Umbric Ferralsols"
48,Haplic Fluvisols,Haplic.Fluvisols,Fluvisols,1801,Haplic (undetermined) Fluvisols,TAXNWRB_Haplic.Fluvisols_250m_ll.tif,Other diagnostic horizons might occur but have not been recorded.,"Fluvisols = Young alluvial soils mainly found along rivers or other low terrain positions, which show stratification or other evidence of recent sedimentation. Other diagnostic horizons might occur but have not been recorded.",16,169,233,Eutric_Fluvisol.jpg,Profielenfolder.jpg,Profielenfolder.jpg,"48,16,169,233,255,Haplic Fluvisols"
49,Haplic Fluvisols (Arenic),Haplic.Fluvisols..Arenic.,Fluvisols,163,Haplic (undetermined) Fluvisols (Arenic),TAXNWRB_Haplic.Fluvisols..Arenic._250m_ll.tif,"Having a texture of loamy fine sand or coarser in a layer, 30 cm or more thick, within 100 cm of the soil surface. Other diagnostic horizons might occur but have not been recorded.","Fluvisols = Young alluvial soils mainly found along rivers or other low terrain positions, which show stratification or other evidence of recent sedimentation. Having a texture of loamy fine sand or coarser in a layer, 30 cm or more thick, within 100 cm of the soil surface. Other diagnostic horizons might occur but have not been recorded.",15,201,233,Eutric_Fluvisol.jpg,Profielenfolder.jpg,Profielenfolder.jpg,"49,15,201,233,255,Haplic Fluvisols (Arenic)"
50,Haplic Fluvisols (Calcaric),Haplic.Fluvisols..Calcaric.,Fluvisols,699,Haplic (undetermined) Fluvisols (Calcaric),TAXNWRB_Haplic.Fluvisols..Calcaric._250m_ll.tif,"Having calcaric material between 20 and 50 cm from the soil surface or between 20 cm and continuous rock or a cemented or indurated layer, whichever is shallower. Other diagnostic horizons might occur but have not been recorded.","Fluvisols = Young alluvial soils mainly found along rivers or other low terrain positions, which show stratification or other evidence of recent sedimentation. Having calcaric material between 20 and 50 cm from the soil surface or between 20 cm and continuous rock or a cemented or indurated layer, whichever is shallower. Other diagnostic horizons might occur but have not been recorded.",15,139,233,Calcaric_Fluvisol.jpg,Profielenfolder.jpg,Profielenfolder.jpg,"50,15,139,233,255,Haplic Fluvisols (Calcaric)"
51,Haplic Fluvisols (Dystric),Haplic.Fluvisols..Dystric.,Fluvisols,109,Haplic (undetermined) Fluvisols (Dystric),TAXNWRB_Haplic.Fluvisols..Dystric._250m_ll.tif,"Having a base saturation (by 1 M NH4OAc) of less than 50 percent in the major part between 20 and 100 cm from the soil surface or between 20 cm and continuous rock or a cemented or indurated layer, or, in Leptosols, in a layer, 5 cm or more thick, directly above continuous rock. Other diagnostic horizons might occur but have not been recorded.","Fluvisols = Young alluvial soils mainly found along rivers or other low terrain positions, which show stratification or other evidence of recent sedimentation. Having a base saturation (by 1 M NH4OAc) of less than 50 percent in the major part between 20 and 100 cm from the soil surface or between 20 cm and continuous rock or a cemented or indurated layer, or, in Leptosols, in a layer, 5 cm or more thick, directly above continuous rock. Other diagnostic horizons might occur but have not been recorded.",15,73,233,Dystric_Fluvisol.jpg,Profielenfolder.jpg,Profielenfolder.jpg,"51,15,73,233,255,Haplic Fluvisols (Dystric)"
52,Haplic Fluvisols (Eutric),Haplic.Fluvisols..Eutric.,Fluvisols,476,Haplic (undetermined) Fluvisols (Eutric),TAXNWRB_Haplic.Fluvisols..Eutric._250m_ll.tif,"Having a base saturation (by 1 M NH4OAc) of 50 percent or more in the major part between 20 and 100 cm from the soil surface or between 20 cm and continuous rock or a cemented or indurated layer, or, in Leptosols, in a layer, 5 cm or more thick, directly above continuous rock. Other diagnostic horizons might occur but have not been recorded.","Fluvisols = Young alluvial soils mainly found along rivers or other low terrain positions, which show stratification or other evidence of recent sedimentation. Having a base saturation (by 1 M NH4OAc) of 50 percent or more in the major part between 20 and 100 cm from the soil surface or between 20 cm and continuous rock or a cemented or indurated layer, or, in Leptosols, in a layer, 5 cm or more thick, directly above continuous rock. Other diagnostic horizons might occur but have not been recorded.",15,142,233,Eutric_Fluvisol.jpg,Profielenfolder.jpg,Profielenfolder.jpg,"52,15,142,233,255,Haplic Fluvisols (Eutric)"
53,Calcic Gleysols,Calcic.Gleysols,Gleysols,523,Calcic Gleysols,TAXNWRB_Calcic.Gleysols_250m_ll.tif,"The calcic horizon (from Latin calx, lime) is a horizon in which secondary calcium carbonate (CaCO3) has accumulated in a diffuse form (calcium carbonate present only in the form of fine particles of less than 1 mm, dispersed in the matrix) or as discontinuous concentrations (pseudomycelia, cutans, soft and hard nodules, or veins). The accumulation may be in the parent material or in subsurface horizons, but it can also occur in surface horizons. If the accumulation of soft carbonates becomes such that all or most of the pedological and/or lithological structures disappear and continuous concentrations of calcium carbonate prevail, a hypercalcic qualifier is used.","Gleysols = Non-stratified soils in waterlogged areas that do not receive regular additions of sediment. Usually found in low terrain positions. The calcic horizon (from Latin calx, lime) is a horizon in which secondary calcium carbonate (CaCO3) has accumulated in a diffuse form (calcium carbonate present only in the form of fine particles of less than 1 mm, dispersed in the matrix) or as discontinuous concentrations (pseudomycelia, cutans, soft and hard nodules, or veins). The accumulation may be in the parent material or in subsurface horizons, but it can also occur in surface horizons. If the accumulation of soft carbonates becomes such that all or most of the pedological and/or lithological structures disappear and continuous concentrations of calcium carbonate prevail, a hypercalcic qualifier is used.",171,154,191,Calcaric_Gleysol.jpg,Profielenfolder.jpg,Profielenfolder.jpg,"53,171,154,191,255,Calcic Gleysols"
54,Haplic Gleysols,Haplic.Gleysols,Gleysols,1096,Haplic (undetermined) Gleysols,TAXNWRB_Haplic.Gleysols_250m_ll.tif,Other diagnostic horizons might occur but have not been recorded.,Gleysols = Non-stratified soils in waterlogged areas that do not receive regular additions of sediment. Usually found in low terrain positions. Other diagnostic horizons might occur but have not been recorded.,160,135,191,Eutric_Gleysol.jpg,Profielenfolder.jpg,Profielenfolder.jpg,"54,160,135,191,255,Haplic Gleysols"
55,Haplic Gleysols (Dystric),Haplic.Gleysols..Dystric.,Gleysols,103,Haplic (undetermined) Gleysols (Dystric),TAXNWRB_Haplic.Gleysols..Dystric._250m_ll.tif,"Having a base saturation (by 1 M NH4OAc) of less than 50 percent in the major part between 20 and 100 cm from the soil surface or between 20 cm and continuous rock or a cemented or indurated layer, or, in Leptosols, in a layer, 5 cm or more thick, directly above continuous rock. Other diagnostic horizons might occur but have not been recorded.","Gleysols = Non-stratified soils in waterlogged areas that do not receive regular additions of sediment. Usually found in low terrain positions. Having a base saturation (by 1 M NH4OAc) of less than 50 percent in the major part between 20 and 100 cm from the soil surface or between 20 cm and continuous rock or a cemented or indurated layer, or, in Leptosols, in a layer, 5 cm or more thick, directly above continuous rock. Other diagnostic horizons might occur but have not been recorded.",121,63,191,Dystric_Gleysol.jpg,Profielenfolder.jpg,Profielenfolder.jpg,"55,121,63,191,255,Haplic Gleysols (Dystric)"
56,Haplic Gleysols (Eutric),Haplic.Gleysols..Eutric.,Gleysols,313,Haplic (undetermined) Gleysols (Eutric),TAXNWRB_Haplic.Gleysols..Eutric._250m_ll.tif,"Having a base saturation (by 1 M NH4OAc) of 50 percent or more in the major part between 20 and 100 cm from the soil surface or between 20 cm and continuous rock or a cemented or indurated layer, or, in Leptosols, in a layer, 5 cm or more thick, directly above continuous rock. Other diagnostic horizons might occur but have not been recorded.","Gleysols = Non-stratified soils in waterlogged areas that do not receive regular additions of sediment. Usually found in low terrain positions. Having a base saturation (by 1 M NH4OAc) of 50 percent or more in the major part between 20 and 100 cm from the soil surface or between 20 cm and continuous rock or a cemented or indurated layer, or, in Leptosols, in a layer, 5 cm or more thick, directly above continuous rock. Other diagnostic horizons might occur but have not been recorded.",158,131,191,Eutric_Gleysol.jpg,Profielenfolder.jpg,Profielenfolder.jpg,"56,158,131,191,255,Haplic Gleysols (Eutric)"
57,Mollic Gleysols,Mollic.Gleysols,Gleysols,588,Mollic Gleysols,TAXNWRB_Mollic.Gleysols_250m_ll.tif,"The mollic horizon (from Latin mollis, soft) is a well-structured, dark-coloured surface horizon with a high base saturation and a moderate to high content of organic matter.","Gleysols = Non-stratified soils in waterlogged areas that do not receive regular additions of sediment. Usually found in low terrain positions. The mollic horizon (from Latin mollis, soft) is a well-structured, dark-coloured surface horizon with a high base saturation and a moderate to high content of organic matter.",135,89,191,Mollic_Gleysol.jpg,Profielenfolder.jpg,Profielenfolder.jpg,"57,135,89,191,255,Mollic Gleysols"
58,Umbric Gleysols,Umbric.Gleysols,Gleysols,630,Umbric Gleysols,TAXNWRB_Umbric.Gleysols_250m_ll.tif,"The umbric horizon (from Latin umbra, shade) is a thick, dark-coloured, base-depleted surface horizon rich in organic matter.","Gleysols = Non-stratified soils in waterlogged areas that do not receive regular additions of sediment. Usually found in low terrain positions. The umbric horizon (from Latin umbra, shade) is a thick, dark-coloured, base-depleted surface horizon rich in organic matter.",147,111,191,Humic_Gleysol.jpg,Profielenfolder.jpg,Profielenfolder.jpg,"58,147,111,191,255,Umbric Gleysols"
59,Calcic Gypsisols,Calcic.Gypsisols,Gypsisols,125,Calcic Gypsisols,TAXNWRB_Calcic.Gypsisols_250m_ll.tif,"The calcic horizon (from Latin calx, lime) is a horizon in which secondary calcium carbonate (CaCO3) has accumulated in a diffuse form (calcium carbonate present only in the form of fine particles of less than 1 mm, dispersed in the matrix) or as discontinuous concentrations (pseudomycelia, cutans, soft and hard nodules, or veins). The accumulation may be in the parent material or in subsurface horizons, but it can also occur in surface horizons. If the accumulation of soft carbonates becomes such that all or most of the pedological and/or lithological structures disappear and continuous concentrations of calcium carbonate prevail, a hypercalcic qualifier is used.","Gypsisols = Soils of (semi-)arid regions with a horizon of secondary gypsum enrichment. The calcic horizon (from Latin calx, lime) is a horizon in which secondary calcium carbonate (CaCO3) has accumulated in a diffuse form (calcium carbonate present only in the form of fine particles of less than 1 mm, dispersed in the matrix) or as discontinuous concentrations (pseudomycelia, cutans, soft and hard nodules, or veins). The accumulation may be in the parent material or in subsurface horizons, but it can also occur in surface horizons. If the accumulation of soft carbonates becomes such that all or most of the pedological and/or lithological structures disappear and continuous concentrations of calcium carbonate prevail, a hypercalcic qualifier is used.",255,249,173,Gypsisol.jpg,Soil taxonomy folder (massive storage),Soil taxonomy folder (massive storage),"59,255,249,173,255,Calcic Gypsisols"
60,Haplic Gypsisols,Haplic.Gypsisols,Gypsisols,568,Haplic (undetermined) Gypsisols,TAXNWRB_Haplic.Gypsisols_250m_ll.tif,Other diagnostic horizons might occur but have not been recorded.,Gypsisols = Soils of (semi-)arid regions with a horizon of secondary gypsum enrichment. Other diagnostic horizons might occur but have not been recorded.,255,245,135,Gypsisol.jpg,Soil taxonomy folder (massive storage),Soil taxonomy folder (massive storage),"60,255,245,135,255,Haplic Gypsisols"
61,Calcic Histosols,Calcic.Histosols,Histosols,22,Calcic Histosols,TAXNWRB_Calcic.Histosols_250m_ll.tif,"The calcic horizon (from Latin calx, lime) is a horizon in which secondary calcium carbonate (CaCO3) has accumulated in a diffuse form (calcium carbonate present only in the form of fine particles of less than 1 mm, dispersed in the matrix) or as discontinuous concentrations (pseudomycelia, cutans, soft and hard nodules, or veins). The accumulation may be in the parent material or in subsurface horizons, but it can also occur in surface horizons. If the accumulation of soft carbonates becomes such that all or most of the pedological and/or lithological structures disappear and continuous concentrations of calcium carbonate prevail, a hypercalcic qualifier is used.","Histosols = Soils consisting primarily of organic materials. They are defined as having 40 centimetres or more of organic soil material in the upper 80 centimetres. The calcic horizon (from Latin calx, lime) is a horizon in which secondary calcium carbonate (CaCO3) has accumulated in a diffuse form (calcium carbonate present only in the form of fine particles of less than 1 mm, dispersed in the matrix) or as discontinuous concentrations (pseudomycelia, cutans, soft and hard nodules, or veins). The accumulation may be in the parent material or in subsurface horizons, but it can also occur in surface horizons. If the accumulation of soft carbonates becomes such that all or most of the pedological and/or lithological structures disappear and continuous concentrations of calcium carbonate prevail, a hypercalcic qualifier is used.",130,145,184,Calcic_Histosol.jpg,TAXGWRB_lacking_selection,,"61,130,145,184,255,Calcic Histosols"
62,Cryic Histosols,Cryic.Histosols,Histosols,306,Cryic Histosols,TAXNWRB_Cryic.Histosols_250m_ll.tif,"The cryic horizon (from Greek kryos, cold, ice) is a perennially frozen soil horizon in mineral or organic materials.","Histosols = Soils consisting primarily of organic materials. They are defined as having 40 centimetres or more of organic soil material in the upper 80 centimetres. The cryic horizon (from Greek kryos, cold, ice) is a perennially frozen soil horizon in mineral or organic materials.",138,150,152,Eutric_Histosol.jpg,Profielenfolder.jpg,Profielenfolder.jpg,"62,138,150,152,255,Cryic Histosols"
63,Fibric Histosols,Fibric.Histosols,Histosols,379,Fibric Histosols,TAXNWRB_Fibric.Histosols_250m_ll.tif,"Having, after rubbing, two-thirds or more (by volume) of the organic material consisting of recognizable plant tissue within 100 cm of the soil surface (in Histosols only).","Histosols = Soils consisting primarily of organic materials. They are defined as having 40 centimetres or more of organic soil material in the upper 80 centimetres. Having, after rubbing, two-thirds or more (by volume) of the organic material consisting of recognizable plant tissue within 100 cm of the soil surface (in Histosols only).",120,128,146,Eutric_Histosol.jpg,Profielenfolder.jpg,Profielenfolder.jpg,"63,120,128,146,255,Fibric Histosols"
64,Hemic Histosols,Hemic.Histosols,Histosols,259,Hemic Histosols,TAXNWRB_Hemic.Histosols_250m_ll.tif,"Having, after rubbing, between two-thirds and one-sixth (by volume) of the organic material consisting of recognizable plant tissue within 100 cm from the soil surface (in Histosols only).","Histosols = Soils consisting primarily of organic materials. They are defined as having 40 centimetres or more of organic soil material in the upper 80 centimetres. Having, after rubbing, between two-thirds and one-sixth (by volume) of the organic material consisting of recognizable plant tissue within 100 cm from the soil surface (in Histosols only).",60,90,106,Eutric_Histosol.jpg,Profielenfolder.jpg,Profielenfolder.jpg,"64,60,90,106,255,Hemic Histosols"
65,Sapric Histosols,Sapric.Histosols,Histosols,132,Sapric Histosols,TAXNWRB_Sapric.Histosols_250m_ll.tif,"Having, after rubbing, less than one-sixth (by volume) of the organic material consisting of recognizable plant tissue within 100 cm of the soil surface (in Histosols only).","Histosols = Soils consisting primarily of organic materials. They are defined as having 40 centimetres or more of organic soil material in the upper 80 centimetres. Having, after rubbing, less than one-sixth (by volume) of the organic material consisting of recognizable plant tissue within 100 cm of the soil surface (in Histosols only).",127,128,122,Eutric_Histosol.jpg,Profielenfolder.jpg,Profielenfolder.jpg,"65,127,128,122,255,Sapric Histosols"
66,Calcic Kastanozems,Calcic.Kastanozems,Kastanozems,416,Calcic Kastanozems,TAXNWRB_Calcic.Kastanozems_250m_ll.tif,"The calcic horizon (from Latin calx, lime) is a horizon in which secondary calcium carbonate (CaCO3) has accumulated in a diffuse form (calcium carbonate present only in the form of fine particles of less than 1 mm, dispersed in the matrix) or as discontinuous concentrations (pseudomycelia, cutans, soft and hard nodules, or veins). The accumulation may be in the parent material or in subsurface horizons, but it can also occur in surface horizons. If the accumulation of soft carbonates becomes such that all or most of the pedological and/or lithological structures disappear and continuous concentrations of calcium carbonate prevail, a hypercalcic qualifier is used.","Kastanozems = Soils occurring in the driest parts of the steppe zone. Compared to Kastanozmes they are less deep, brownish surface soils and have carbonate and/or gypsum accumulation at some depth. The calcic horizon (from Latin calx, lime) is a horizon in which secondary calcium carbonate (CaCO3) has accumulated in a diffuse form (calcium carbonate present only in the form of fine particles of less than 1 mm, dispersed in the matrix) or as discontinuous concentrations (pseudomycelia, cutans, soft and hard nodules, or veins). The accumulation may be in the parent material or in subsurface horizons, but it can also occur in surface horizons. If the accumulation of soft carbonates becomes such that all or most of the pedological and/or lithological structures disappear and continuous concentrations of calcium carbonate prevail, a hypercalcic qualifier is used.",210,161,141,Calcic_Kastanozem.jpg,Profielenfolder.jpg,Profielenfolder.jpg,"66,210,161,141,255,Calcic Kastanozems"
67,Haplic Kastanozems,Haplic.Kastanozems,Kastanozems,1722,Haplic (undetermined) Kastanozems,TAXNWRB_Haplic.Kastanozems_250m_ll.tif,Other diagnostic horizons might occur but have not been recorded.,"Kastanozems = Soils occurring in the driest parts of the steppe zone. Compared to Kastanozmes they are less deep, brownish surface soils and have carbonate and/or gypsum accumulation at some depth. Other diagnostic horizons might occur but have not been recorded.",210,135,105,Haplic_Kastanozem.jpg,Profielenfolder.jpg,Profielenfolder.jpg,"67,210,135,105,255,Haplic Kastanozems"
68,Haplic Leptosols,Haplic.Leptosols,Leptosols,1099,Haplic (undetermined) Leptosols,TAXNWRB_Haplic.Leptosols_250m_ll.tif,Other diagnostic horizons might occur but have not been recorded.,Leptosols = Shallow soils in elevated and/or eroding areas over hard rock or highly calcareous material. Other diagnostic horizons might occur but have not been recorded.,152,143,152,Leptosol.jpg,Soil taxonomy folder (massive storage),Soil taxonomy folder (massive storage),"68,152,143,152,255,Haplic Leptosols"
69,Haplic Leptosols (Eutric),Haplic.Leptosols..Eutric.,Leptosols,264,Haplic (undetermined) Leptosols (Eutric),TAXNWRB_Haplic.Leptosols..Eutric._250m_ll.tif,"Having a base saturation (by 1 M NH4OAc) of 50 percent or more in the major part between 20 and 100 cm from the soil surface or between 20 cm and continuous rock or a cemented or indurated layer, or, in Leptosols, in a layer, 5 cm or more thick, directly above continuous rock. Other diagnostic horizons might occur but have not been recorded.","Leptosols = Shallow soils in elevated and/or eroding areas over hard rock or highly calcareous material. Having a base saturation (by 1 M NH4OAc) of 50 percent or more in the major part between 20 and 100 cm from the soil surface or between 20 cm and continuous rock or a cemented or indurated layer, or, in Leptosols, in a layer, 5 cm or more thick, directly above continuous rock. Other diagnostic horizons might occur but have not been recorded.",201,201,201,Leptosol.jpg,Soil taxonomy folder (massive storage),Soil taxonomy folder (massive storage),"69,201,201,201,255,Haplic Leptosols (Eutric)"
70,Lithic Leptosols,Lithic.Leptosols,Leptosols,655,Lithic Leptosols,TAXNWRB_Lithic.Leptosols_250m_ll.tif,Having continuous rock starting within 10 cm of the soil surface (in Leptosols only).,Leptosols = Shallow soils in elevated and/or eroding areas over hard rock or highly calcareous material. Having continuous rock starting within 10 cm of the soil surface (in Leptosols only).,180,189,182,Leptosol.jpg,Soil taxonomy folder (massive storage),Soil taxonomy folder (massive storage),"70,180,189,182,255,Lithic Leptosols"
71,Mollic Leptosols,Mollic.Leptosols,Leptosols,162,Mollic Leptosols,TAXNWRB_Mollic.Leptosols_250m_ll.tif,"The mollic horizon (from Latin mollis, soft) is a well-structured, dark-coloured surface horizon with a high base saturation and a moderate to high content of organic matter.","Leptosols = Shallow soils in elevated and/or eroding areas over hard rock or highly calcareous material. The mollic horizon (from Latin mollis, soft) is a well-structured, dark-coloured surface horizon with a high base saturation and a moderate to high content of organic matter.",144,152,163,Leptosol.jpg,Soil taxonomy folder (massive storage),Soil taxonomy folder (massive storage),"71,144,152,163,255,Mollic Leptosols"
72,Rendzic Leptosols,Rendzic.Leptosols,Leptosols,706,Rendzic Leptosols,TAXNWRB_Rendzic.Leptosols_250m_ll.tif,Having a mollic horizon that contains or immediately overlies calcaric materials containing 40 percent or more calcium carbonate equivalent.,Leptosols = Shallow soils in elevated and/or eroding areas over hard rock or highly calcareous material. Having a mollic horizon that contains or immediately overlies calcaric materials containing 40 percent or more calcium carbonate equivalent.,162,162,162,Leptosol.jpg,Soil taxonomy folder (massive storage),Soil taxonomy folder (massive storage),"72,162,162,162,255,Rendzic Leptosols"
73,Haplic Lixisols,Haplic.Lixisols,Lixisols,1100,Haplic (undetermined) Lixisols,TAXNWRB_Haplic.Lixisols_250m_ll.tif,Other diagnostic horizons might occur but have not been recorded.,Lixisols = Soils of wet (sub-)tropical regions with a low cation exchange capacity but high base saturation percentage. Other diagnostic horizons might occur but have not been recorded.,247,199,202,Lixisol.jpg,Soil taxonomy folder (massive storage),Soil taxonomy folder (massive storage),"73,247,199,202,255,Haplic Lixisols"
