,,,,,,,,,,,,,,,,,,,,,,,m,,Mg C ha-1,Mg C ha-1,Mg C ha-1,Mg C ha-1 yr-1,yr
Liu et al 2014,,Y,in,"H. Ren, renhai@scib.ac.cn",HL14 Gaogiao 2,M0240,Guangxi,China,21.529747,109.783918,21.529747,109.783918,approximate,6500,,unknown,,estuarine/marine,,,,2011,1.00,N,,,,,
Liu et al 2014,,Y,in,"H. Ren, renhai@scib.ac.cn",HL14 Gaogiao 3,M0241,Guangxi,China,21.529747,109.783918,21.529747,109.783918,approximate,6500,,unknown,,estuarine/marine,,,,2011,1.00,N,,,,,
Liu et al 2014,,Y,in,"H. Ren, renhai@scib.ac.cn",HL14 Gaogiao 4,M0242,Guangxi,China,21.529747,109.783918,21.529747,109.783918,approximate,6500,,unknown,,estuarine/marine,,,,2011,1.00,N,,,,,
Liu et al 2014,,Y,in,"H. Ren, renhai@scib.ac.cn",HL14 Gaogiao 5,M0243,Guangxi,China,21.529747,109.783918,21.529747,109.783918,approximate,6500,,unknown,,estuarine/marine,,,,2011,1.00,N,,,,,
Liu et al 2014,,Y,in,"H. Ren, renhai@scib.ac.cn",HL14 Gaogiao 6,M0244,Guangxi,China,21.529747,109.783918,21.529747,109.783918,approximate,6500,,unknown,,estuarine/marine,,,,2011,1.00,N,,,,,
Liu et al 2014,,Y,in,"H. Ren, renhai@scib.ac.cn",HL14 Gaogiao 7,M0245,Guangxi,China,21.529747,109.783918,21.529747,109.783918,approximate,6500,,unknown,,estuarine/marine,,,,2011,1.00,N,,,,,
Liu et al 2014,,Y,in,"H. Ren, renhai@scib.ac.cn",HL14 Gaogiao 8,M0246,Guangxi,China,21.529747,109.783918,21.529747,109.783918,approximate,6500,,unknown,,estuarine/marine,,,,2011,1.00,N,,,,,
Liu et al 2014,,Y,in,"H. Ren, renhai@scib.ac.cn",HL14 Gaogiao 9,M0247,Guangxi,China,21.529747,109.783918,21.529747,109.783918,approximate,6500,,unknown,,estuarine/marine,,,,2011,1.00,N,,,,,
Liu et al 2014,,Y,in,"H. Ren, renhai@scib.ac.cn",HL14 Gaogiao 10,M0248,Guangxi,China,21.529747,109.783918,21.529747,109.783918,approximate,6500,,unknown,,estuarine/marine,,,,2011,1.00,N,,,,,
Liu et al 2014,,Y,in,"H. Ren, renhai@scib.ac.cn",HL14 Gaogiao 11,M0249,Guangxi,China,21.529747,109.783918,21.529747,109.783918,approximate,6500,,unknown,,estuarine/marine,,,,2011,1.00,N,,,,,
Liu et al 2014,,Y,in,"H. Ren, renhai@scib.ac.cn",HL14 Gaogiao 12,M0250,Guangxi,China,21.529747,109.783918,21.529747,109.783918,approximate,6500,,unknown,,estuarine/marine,,,,2011,1.00,N,,,,,
Liu et al 2014,,Y,in,"H. Ren, renhai@scib.ac.cn",HL14 Gaogiao 13,M0251,Guangxi,China,21.529747,109.783918,21.529747,109.783918,approximate,6500,,unknown,,estuarine/marine,,,,2011,1.00,N,,,,,
Liu et al 2014,,Y,in,"H. Ren, renhai@scib.ac.cn",HL14 Gaogiao 14,M0252,Guangxi,China,21.529747,109.783918,21.529747,109.783918,approximate,6500,,unknown,,estuarine/marine,,,,2011,1.00,N,,,,,
Liu et al 2014,,Y,in,"H. Ren, renhai@scib.ac.cn",HL14 Gaogiao 15,M0253,Guangxi,China,21.529747,109.783918,21.529747,109.783918,approximate,6500,,unknown,,estuarine/marine,,,,2011,1.00,N,,,,,
Liu et al 2014,,Y,in,"H. Ren, renhai@scib.ac.cn",HL14 Gaogiao 16,M0254,Guangxi,China,21.529747,109.783918,21.529747,109.783918,approximate,6500,,unknown,,estuarine/marine,,,,2011,1.00,N,,,,,
Liu et al 2014,,Y,in,"H. Ren, renhai@scib.ac.cn",HL14 Gaogiao 17,M0255,Guangxi,China,21.529747,109.783918,21.529747,109.783918,approximate,6500,,unknown,,estuarine/marine,,,,2011,1.00,N,,,,,
Liu et al 2014,,Y,in,"H. Ren, renhai@scib.ac.cn",HL14 Dongzhai Harbor 1,M0256,Hainan,China,19.956571,110.582643,19.956571,110.582643,approximate,7000,,unknown,,estuarine,,,,2011,1.00,N,,,,,
Liu et al 2014,,Y,in,"H. Ren, renhai@scib.ac.cn",HL14 Dongzhai Harbor 2,M0257,Hainan,China,19.956571,110.582643,19.956571,110.582643,approximate,7000,,unknown,,estuarine,,,,2011,1.00,N,,,,,
Liu et al 2014,,Y,in,"H. Ren, renhai@scib.ac.cn",HL14 Dongzhai Harbor 3,M0258,Hainan,China,19.956571,110.582643,19.956571,110.582643,approximate,7000,,unknown,,estuarine,,,,2011,1.00,N,,,,,
Liu et al 2014,,Y,in,"H. Ren, renhai@scib.ac.cn",HL14 Dongzhai Harbor 4,M0259,Hainan,China,19.956571,110.582643,19.956571,110.582643,approximate,7000,,unknown,,estuarine,,,,2011,1.00,N,,,,,
Liu et al 2014,,Y,in,"H. Ren, renhai@scib.ac.cn",HL14 Shankou 1,M0260,Guangdong,China,22.493027,114.029298,22.493027,114.029298,approximate,6000,,unknown,,estuarine,,,,2011,1.00,N,,,,,
Liu et al 2014,,Y,in,"H. Ren, renhai@scib.ac.cn",HL14 Shankou 2,M0261,Guangdong,China,22.493027,114.029298,22.493027,114.029298,approximate,6000,,unknown,,estuarine,,,,2011,1.00,N,,,,,
Liu et al 2014,,Y,in,"H. Ren, renhai@scib.ac.cn",HL14 Shankou 3,M0262,Guangdong,China,22.493027,114.029298,22.493027,114.029298,approximate,6000,,unknown,,estuarine,,,,2011,1.00,N,,,,,
Liu et al 2014,,Y,out,"H. Ren, renhai@scib.ac.cn",HL14 Qinglan Harbor 1,M0263,Hainan,China,19.552029,110.837921,19.55784138,110.8340226,approximate,12000,,unknown,,estuarine/marine,,,,2011,1.00,N,,,,,
Liu et al 2014,,Y,out,"H. Ren, renhai@scib.ac.cn",HL14 Qinglan Harbor 2,M0264,Hainan,China,19.552029,110.837921,19.55784138,110.8340226,approximate,12000,,unknown,,estuarine/marine,,,,2011,1.00,N,,,,,
Liu et al 2014,,Y,out,"H. Ren, renhai@scib.ac.cn",HL14 Qinglan Harbor 3,M0265,Hainan,China,19.552029,110.837921,19.55784138,110.8340226,approximate,12000,,unknown,,estuarine/marine,,,,2011,1.00,N,,,,,
Lunstrem and Chen 2014,,Y,out,"L. Chen,  luzhenchen@xmu.edu.cn ",LC14 S. Apetala 6yr,M0266,Deep Bay,Hong Kong,22.525676,114.008548,22.52573962,114.0087684,approximate,6000,,outer,,estuarine,,Sonneratia apetala,,2011,1.00,N,,,,1.55,
Lunstrem and Chen 2014,,Y,out,"L. Chen,  luzhenchen@xmu.edu.cn ",LC14 K. Obovata 6yr,M0267,Deep Bay,Hong Kong,22.525935,114.007956,22.5260368,114.0082315,approximate,6000,,central,,estuarine,,Kandelia obvata,,2011,1.00,N,,,,1.55,
Lunstrem and Chen 2014,,Y,out,"L. Chen,  luzhenchen@xmu.edu.cn ",LC14 S. Apetala 20yr,M0268,Deep Bay,Hong Kong,22.525998,114.006547,22.52683782,114.0068501,approximate,6000,,outer,,estuarine,,Sonneratia apetala,,2012,1.00,N,,,,1.55,
Lunstrem and Chen 2014,,Y,in,"L. Chen,  luzhenchen@xmu.edu.cn ",LC14 K. Obovata 70yr,M0269,Deep Bay,Hong Kong,22.527121,114.006983,22.527121,114.006983,approximate,6000,,back,,estuarine,,Kandelia obvata,,2012,1.00,N,,,,1.55,
Alongi et al 2004,,Y,out,"D. M. Alongi, d.alongi@aims.gov.au",DMA04 M2/5,M0270,Matang Mangrove Forest Reserve,Malaysia,4.867226,100.617941,4.868900546,100.61604,estimated from GE,100,,outer,,riverine,,Rhizophora apiculata,M,1999,1.02,N,,,,2.768455,100
Alongi et al 2004,,Y,in,"D. M. Alongi, d.alongi@aims.gov.au",DMA04 M15,M0271,Matang Mangrove Forest Reserve,Malaysia,4.855745,100.611278,4.855745,100.611278,estimated from GE,100,,outer,,riverine,,Rhizophora apiculata,M,1999,1.02,N,,,,2.976008,100
Alongi et al 2004,,Y,out,"D. M. Alongi, d.alongi@aims.gov.au",DMA04 MVR,M0272,Matang Mangrove Forest Reserve,Malaysia,4.835893,100.617515,4.835838094,100.6173497,estimated from GE,100,,outer,,riverine,,Rhizophora apiculata,M,1999,1.02,N,,,,3.5232225,100
Along et al 2000 MEPS,,Y,in,"D. M. Alongi, d.alongi@aims.gov.au",DMA00MEPS M6,M0273,Ca Mau,Vietnam,8.826775,105.194289,8.826775,105.194289,approximate,400,,N/A,,riverine,,Rhizophora apiculata,P,1996,0.40,N,,,,,
Along et al 2000 MEPS,,Y,out,"D. M. Alongi, d.alongi@aims.gov.au",DMA00MEPS M8,M0274,Ca Mau,Vietnam,8.837927,105.245301,8.838056313,105.2452734,approximate,250,,N/A,,riverine,,Rhizophora apiculata,P,1996,0.40,N,,,,,
Along et al 2000 MEPS,,Y,in,"D. M. Alongi, d.alongi@aims.gov.au",DMA00MEPS M35,M0275,Ca Mau,Vietnam,8.832831,105.221689,8.832831,105.221689,approximate,250,,N/A,,riverine,,Rhizophora apiculata,P,1996,0.40,N,,,,,
Lovelock et al 2010,,Y,in,"C. E. Lovelock, c.lovelock@uq.edu.au",CEL10 Site 1,M0276,Firth of Thames,New Zealand,-37.213446,175.449529,-37.213446,175.449529,estimated from GE,15,dwarf,back,,marine,,,,2006,0.05,N,,,,,
Lovelock et al 2010,,Y,in,"C. E. Lovelock, c.lovelock@uq.edu.au",CEL10 Site 2,M0277,Firth of Thames,New Zealand,-37.213136,175.449279,-37.213136,175.449279,estimated from GE,15,dwarf,back,,marine,,,,2006,0.05,N,,,,,
Lovelock et al 2010,,Y,in,"C. E. Lovelock, c.lovelock@uq.edu.au",CEL10 Site 3,M0278,Firth of Thames,New Zealand,-37.212934,175.449132,-37.212934,175.449132,estimated from GE,15,dwarf,back,,marine,,,,2006,0.05,N,,,,,
Lovelock et al 2010,,Y,in,"C. E. Lovelock, c.lovelock@uq.edu.au",CEL10 Site 4,M0279,Firth of Thames,New Zealand,-37.212831,175.449067,-37.212831,175.449067,estimated from GE,15,dwarf,back,,marine,,,,2006,0.05,N,,,,,
Lovelock et al 2010,,Y,in,"C. E. Lovelock, c.lovelock@uq.edu.au",CEL10 Site 5,M0280,Firth of Thames,New Zealand,-37.212541,175.448874,-37.212541,175.448874,estimated from GE,15,short,central,,marine,,,,2006,0.05,N,,,,,
Lovelock et al 2010,,Y,in,"C. E. Lovelock, c.lovelock@uq.edu.au",CEL10 Site 6,M0281,Firth of Thames,New Zealand,-37.212236,175.448674,-37.212236,175.448674,estimated from GE,15,dwarf,central,,marine,,,,2006,0.05,N,,,,,
Lovelock et al 2010,,Y,in,"C. E. Lovelock, c.lovelock@uq.edu.au",CEL10 Site 7,M0282,Firth of Thames,New Zealand,-37.212036,175.44854,-37.212036,175.44854,estimated from GE,15,short,central,,marine,,,,2006,0.05,N,,,,,
Lovelock et al 2010,,Y,in,"C. E. Lovelock, c.lovelock@uq.edu.au",CEL10 Site 8,M0283,Firth of Thames,New Zealand,-37.21174,175.448322,-37.21174,175.448322,estimated from GE,15,short,central,,marine,,,,2006,0.05,N,,,,,
Lovelock et al 2010,,Y,in,"C. E. Lovelock, c.lovelock@uq.edu.au",CEL10 Site 9,M0284,Firth of Thames,New Zealand,-37.211539,175.448196,-37.211539,175.448196,estimated from GE,15,dwarf,central,,marine,,,,2006,0.05,N,,,,,
Lovelock et al 2010,,Y,in,"C. E. Lovelock, c.lovelock@uq.edu.au",CEL10 Site 10,M0285,Firth of Thames,New Zealand,-37.211342,175.448066,-37.211342,175.448066,estimated from GE,15,dwarf,central,,marine,,,,2006,0.05,N,,,,,
Lovelock et al 2010,,Y,in,"C. E. Lovelock, c.lovelock@uq.edu.au",CEL10 Site 11,M0286,Firth of Thames,New Zealand,-37.21122,175.447961,-37.21122,175.447961,estimated from GE,15,short,central,,marine,,,,2006,0.05,N,,,,,
Lovelock et al 2010,,Y,in,"C. E. Lovelock, c.lovelock@uq.edu.au",CEL10 Site 12,M0287,Firth of Thames,New Zealand,-37.211053,175.44778,-37.211053,175.44778,estimated from GE,15,short,central,,marine,,,,2006,0.05,N,,,,,
Lovelock et al 2010,,Y,in,"C. E. Lovelock, c.lovelock@uq.edu.au",CEL10 Site 13,M0288,Firth of Thames,New Zealand,-37.210887,175.447674,-37.210887,175.447674,estimated from GE,15,short,central,,marine,,,,2006,0.05,N,,,,,
Lovelock et al 2010,,Y,in,"C. E. Lovelock, c.lovelock@uq.edu.au",CEL10 Site 14,M0289,Firth of Thames,New Zealand,-37.210741,175.44757,-37.210741,175.44757,estimated from GE,15,short,central,,marine,,,,2006,0.05,N,,,,,
Lovelock et al 2010,,Y,in,"C. E. Lovelock, c.lovelock@uq.edu.au",CEL10 Site 15,M0290,Firth of Thames,New Zealand,-37.210573,175.447452,-37.210573,175.447452,estimated from GE,15,short,central,,marine,,,,2006,0.05,N,,,,,
Lovelock et al 2010,,Y,in,"C. E. Lovelock, c.lovelock@uq.edu.au",CEL10 Site 16,M0291,Firth of Thames,New Zealand,-37.210417,175.447362,-37.210417,175.447362,estimated from GE,15,short,central,,marine,,,,2006,0.05,N,,,,,
Lovelock et al 2010,,Y,in,"C. E. Lovelock, c.lovelock@uq.edu.au",CEL10 Site 17,M0292,Firth of Thames,New Zealand,-37.210305,175.447294,-37.210305,175.447294,estimated from GE,15,short,central,,marine,,,,2006,0.05,N,,,,,
Lovelock et al 2010,,Y,in,"C. E. Lovelock, c.lovelock@uq.edu.au",CEL10 Site 18,M0293,Firth of Thames,New Zealand,-37.210187,175.447198,-37.210187,175.447198,estimated from GE,15,short,central,,marine,,,,2006,0.05,N,,,,,
Lovelock et al 2010,,Y,in,"C. E. Lovelock, c.lovelock@uq.edu.au",CEL10 Site 19,M0294,Firth of Thames,New Zealand,-37.210054,175.447111,-37.210054,175.447111,estimated from GE,15,short,central,,marine,,,,2006,0.05,N,,,,,
Lovelock et al 2010,,Y,in,"C. E. Lovelock, c.lovelock@uq.edu.au",CEL10 Site 20,M0295,Firth of Thames,New Zealand,-37.209912,175.44701,-37.209912,175.44701,estimated from GE,15,dwarf,central,,marine,,,,2006,0.05,N,,,,,
Lovelock et al 2010,,Y,in,"C. E. Lovelock, c.lovelock@uq.edu.au",CEL10 Site 21,M0296,Firth of Thames,New Zealand,-37.209751,175.446906,-37.209751,175.446906,estimated from GE,15,dwarf,central,,marine,,,,2006,0.05,N,,,,,
Lovelock et al 2010,,Y,in,"C. E. Lovelock, c.lovelock@uq.edu.au",CEL10 Site 22,M0297,Firth of Thames,New Zealand,-37.209465,175.446816,-37.209465,175.446816,estimated from GE,15,dwarf,central,,marine,,,,2006,0.05,N,,,,,
Lovelock et al 2010,,Y,in,"C. E. Lovelock, c.lovelock@uq.edu.au",CEL10 Site 23,M0298,Firth of Thames,New Zealand,-37.209218,175.446729,-37.209218,175.446729,estimated from GE,15,dwarf,central,,marine,,,,2006,0.05,N,,,,,
Lovelock et al 2010,,Y,in,"C. E. Lovelock, c.lovelock@uq.edu.au",CEL10 Site 24,M0299,Firth of Thames,New Zealand,-37.209018,175.446645,-37.209018,175.446645,estimated from GE,15,dwarf,central,,marine,,,,2006,0.05,N,,,,,
Lovelock et al 2010,,Y,in,"C. E. Lovelock, c.lovelock@uq.edu.au",CEL10 Site 25,M0300,Firth of Thames,New Zealand,-37.208804,175.446579,-37.208804,175.446579,estimated from GE,15,dwarf,central,,marine,,,,2006,0.05,N,,,,,
Lovelock et al 2010,,Y,in,"C. E. Lovelock, c.lovelock@uq.edu.au",CEL10 Site 26,M0301,Firth of Thames,New Zealand,-37.208607,175.446489,-37.208607,175.446489,estimated from GE,15,dwarf,central,,marine,,,,2006,0.05,N,,,,,
Lovelock et al 2010,,Y,in,"C. E. Lovelock, c.lovelock@uq.edu.au",CEL10 Site 27,M0302,Firth of Thames,New Zealand,-37.208454,175.446399,-37.208454,175.446399,estimated from GE,15,dwarf,central,,marine,,,,2006,0.05,N,,,,,
Lovelock et al 2010,,Y,out,"C. E. Lovelock, c.lovelock@uq.edu.au",CEL10 Site 28,M0303,Firth of Thames,New Zealand,-37.208315,175.446315,-37.2095877,175.4470864,estimated from GE,15,dwarf,central,,marine,,,,2006,0.05,N,,,,,
Lovelock et al 2010,,Y,out,"C. E. Lovelock, c.lovelock@uq.edu.au",CEL10 Site 29,M0304,Firth of Thames,New Zealand,-37.208196,175.446256,-37.2094687,175.4470274,estimated from GE,15,dwarf,central,,marine,,,,2006,0.05,N,,,,,
Lovelock et al 2010,,Y,out,"C. E. Lovelock, c.lovelock@uq.edu.au",CEL10 Site 30,M0305,Firth of Thames,New Zealand,-37.208068,175.446179,-37.2093407,175.4469504,estimated from GE,15,short,central,,marine,,,,2006,0.05,N,,,,,
Lovelock et al 2010,,Y,out,"C. E. Lovelock, c.lovelock@uq.edu.au",CEL10 Site 31,M0306,Firth of Thames,New Zealand,-37.207974,175.44612,-37.2092467,175.4468914,estimated from GE,15,short,central,,marine,,,,2006,0.05,N,,,,,
Lovelock et al 2010,,Y,out,"C. E. Lovelock, c.lovelock@uq.edu.au",CEL10 Site 32,M0307,Firth of Thames,New Zealand,-37.207849,175.446061,-37.2091217,175.4468324,estimated from GE,15,dwarf,central,,marine,,,,2006,0.05,N,,,,,
Lovelock et al 2010,,Y,out,"C. E. Lovelock, c.lovelock@uq.edu.au",CEL10 Site 33,M0308,Firth of Thames,New Zealand,-37.207766,175.446005,-37.2090387,175.4467764,estimated from GE,15,dwarf,outer,,marine,,,,2006,0.05,N,,,,,
Lovelock et al 2010,,Y,out,"C. E. Lovelock, c.lovelock@uq.edu.au",CEL10 Site 34,M0309,Firth of Thames,New Zealand,-37.207669,175.445956,-37.2089417,175.4467274,estimated from GE,15,dwarf,outer,,marine,,,,2006,0.05,N,,,,,
Lovelock et al 2010,,Y,out,"C. E. Lovelock, c.lovelock@uq.edu.au",CEL10 Site 35,M0310,Firth of Thames,New Zealand,-37.207508,175.445872,-37.2087807,175.4466434,estimated from GE,15,dwarf,outer,,marine,,,,2006,0.05,N,,,,,
Lovelock et al 2010,,Y,out,"C. E. Lovelock, c.lovelock@uq.edu.au",CEL10 Site 36,M0311,Firth of Thames,New Zealand,-37.207241,175.445729,-37.2085137,175.4465004,estimated from GE,15,dwarf,outer,,marine,,,,2006,0.05,N,,,,,
MacKenzie et al 2016,,Y,in,"R. A. MacKenzie, rmackenzie@fs.fed.us",RAM16 CG1.6,M0312,Can Gio,Vietnam,10.50211,106.822809,10.50211,106.822809,exact,5,,central,,riverine,,Rhizophora apiculata,,2012,0.60,N,,,,2.276,
MacKenzie et al 2016,,Y,in,"R. A. MacKenzie, rmackenzie@fs.fed.us",RAM16 CG2.1,M0313,Can Gio,Vietnam,10.521221,106.8981377,10.521221,106.8981377,exact,5,,outer,,riverine,,Rhizophora apiculata,,2012,0.60,N,,,,1.829,
MacKenzie et al 2016,,Y,in,"R. A. MacKenzie, rmackenzie@fs.fed.us",RAM16 KVPF1.1,M0314,Ca Mau,Vietnam,8.653015,105.120527,8.653015,105.120527,exact,5,,outer,,marine,,Rhizophora apiculata,,2012,0.60,N,,,,3.886,
MacKenzie et al 2016,,Y,in,"R. A. MacKenzie, rmackenzie@fs.fed.us",RAM16 KVPF1.6,M0315,Ca Mau,Vietnam,8.653757,105.1197819,8.653757,105.1197819,exact,5,,central,,marine,,Rhizophora apiculata,,2012,0.60,N,,,,2.745,
MacKenzie et al 2016,,Y,in,"R. A. MacKenzie, rmackenzie@fs.fed.us",RAM16 KVPF2.1,M0316,Ca Mau,Vietnam,8.639893,105.0735317,8.639893,105.0735317,exact,5,,outer,,riverine,,Rhizophora apiculata,,2012,0.60,N,,,,6.027,
MacKenzie et al 2016,,Y,in,"R. A. MacKenzie, rmackenzie@fs.fed.us",RAM16 KVPF2.6,M0317,Ca Mau,Vietnam,8.641268,105.0736592,8.641268,105.0736592,exact,5,,central,,riverine,,Rhizophora apiculata,,2012,0.60,N,,,,2.337,
MacKenzie et al 2016,,Y,in,"R. A. MacKenzie, rmackenzie@fs.fed.us",RAM16 KVPF3.1,M0318,Ca Mau,Vietnam,8.644698,105.1049453,8.644698,105.1049453,exact,5,,outer,,riverine,,Rhizophora apiculata,,2012,0.60,N,,,,1.21,
MacKenzie et al 2016,,Y,in,"R. A. MacKenzie, rmackenzie@fs.fed.us",RAM16 KVPF3.6,M0319,Ca Mau,Vietnam,8.643631,105.104436,8.643631,105.104436,exact,5,,central,,riverine,,Rhizophora apiculata,,2012,0.60,N,,,,2.068,
MacKenzie et al 2016,,Y,in,"R. A. MacKenzie, rmackenzie@fs.fed.us",RAM16 U1B0,M0320,Babeldaob,Republic of Palau,7.628384,134.6194473,7.628384,134.6194473,exact,5,,outer,,marine,,Rhizophora mucronata,,2010,0.60,N,,,,3.223,
MacKenzie et al 2016,,Y,out,"R. A. MacKenzie, rmackenzie@fs.fed.us",RAM16 U1B375,M0321,Babeldaob,Republic of Palau,7.626623,134.6228033,7.626991648,134.6228171,exact,5,,central/back,,marine,,Rhizophora mucronata,,2010,0.60,N,,,,3.697,
MacKenzie et al 2016,,Y,in,"R. A. MacKenzie, rmackenzie@fs.fed.us",RAM16 U2B0,M0322,Babeldaob,Republic of Palau,7.577479,134.5392021,7.577479,134.5392021,exact,5,,outer,,marine,,Sonneratia alba,,2010,0.60,N,,,,2.806,
MacKenzie et al 2016,,Y,in,"R. A. MacKenzie, rmackenzie@fs.fed.us",RAM16 U2B375,M0323,Babeldaob,Republic of Palau,7.578062,134.5425374,7.578062,134.5425374,exact,5,,central,,marine,,Lumnitzera littorea,,2010,0.60,N,,,,1.538,
MacKenzie et al 2016,,Y,in,"R. A. MacKenzie, rmackenzie@fs.fed.us",RAM16 U3B0,M0324,Babeldaob,Republic of Palau,7.526389,134.6130559,7.526389,134.6130559,exact,5,,central,,marine,,Rhizophora mucronata,,2010,0.60,N,,,,0.698,
MacKenzie et al 2016,Coordinates were in the middle of the ocean. I had to approximate based on U3B0,Y,in,"R. A. MacKenzie, rmackenzie@fs.fed.us",RAM16 U3B375,M0325,Babeldaob,Republic of Palau,7.52596,134.611456,7.52596,134.611456,estimated from GE,25,,central,,marine,,Rhizophora apiculata,,2010,0.60,N,,,,1.575,
MacKenzie et al 2016,"No coords, estimated based on D1B375",Y,in,"R. A. MacKenzie, rmackenzie@fs.fed.us",RAM16 D1B0,M0326,Babeldaob,Republic of Palau,7.40844,134.505711,7.40844,134.505711,estimated from GE,25,,outer,,marine,,Sonneratia alba,,2010,0.60,N,,,,1.41,
MacKenzie et al 2016,,Y,out,"R. A. MacKenzie, rmackenzie@fs.fed.us",RAM16 D1B375,M0327,Babeldaob,Republic of Palau,7.407428,134.509097,7.407428,134.5088559,exact,5,,central/back,,marine,,Bruguierra gymnorhiza,,2010,0.60,N,,,,1.364,
MacKenzie et al 2016,,Y,in,"R. A. MacKenzie, rmackenzie@fs.fed.us",RAM16 D3B0,M0328,Babeldaob,Republic of Palau,7.580028,134.6324441,7.580028,134.6324441,exact,5,,outer,,marine,,Sonneratia alba,,2010,0.60,N,,,,2.519,
MacKenzie et al 2016,,Y,out,"R. A. MacKenzie, rmackenzie@fs.fed.us",RAM16 D2B0,M0329,Babeldaob,Republic of Palau,7.382636,134.5104926,7.382557447,134.5106166,exact,5,,outer,,marine,,Rhizophora mucronata,,2010,0.60,N,,,,3.567,
MacKenzie et al 2016,,Y,in,"R. A. MacKenzie, rmackenzie@fs.fed.us",RAM16 D2B375,M0330,Babeldaob,Republic of Palau,7.382522,134.5138453,7.382522,134.5138453,exact,5,,central,,marine,,Rhizophora apiculata,,2010,0.60,N,,,,1.195,
Osland et al 2012,,Y,out,"M. J. Osland, mosland@usgs.gov",MJO12 Robinson Preserve,M0331,Tampa Bay,USA,27.5195,-82.6707,27.51948167,-82.67045204,exact,10,,central,,estuarine/marine,,,,2010,0.30,N,,,,,
Osland et al 2012,,Y,in,"M. J. Osland, mosland@usgs.gov",MJO12 Emerson Point,M0332,Tampa Bay,USA,27.5353,-82.6324,27.5353,-82.6324,exact,10,,central,,estuarine,,,,2010,0.30,N,,,,,
Osland et al 2012,,Y,in,"M. J. Osland, mosland@usgs.gov",MJO12 East Cockroach Bay,M0333,Tampa Bay,USA,27.6770,-82.5032,27.6770,-82.5032,exact,10,,outer,,estuarine,,,,2010,0.30,N,,,,,
Osland et al 2012,,Y,in,"M. J. Osland, mosland@usgs.gov",MJO12 South Cockroach Bay,M0334,Tampa Bay,USA,27.6698,-82.5148,27.6698,-82.5148,exact,10,,outer,,estuarine,,,,2010,0.30,N,,,,,
Osland et al 2012,In mudflat. I increased the approx_acc range to include mangroves,Y,out,"M. J. Osland, mosland@usgs.gov",MJO12 Little Cockroach Bay,M0335,Tampa Bay,USA,27.6948,-82.5129,27.69484879,-82.51305153,exact,50,,outer,,estuarine,,,,2010,0.30,N,,,,,
Osland et al 2012,,Y,in,"M. J. Osland, mosland@usgs.gov",MJO12 Bishop Harbor,M0336,Tampa Bay,USA,27.6024,-82.5604,27.6024,-82.5604,exact,10,,outer,,estuarine,,,,2010,0.30,N,,,,,
Osland et al 2012,,Y,in,"M. J. Osland, mosland@usgs.gov",MJO12 Wolf Branch,M0337,Tampa Bay,USA,27.7400,-82.4620,27.7400,-82.4620,exact,10,,outer,,estuarine,,,,2010,0.30,N,,,,,
Osland et al 2012,,Y,out,"M. J. Osland, mosland@usgs.gov",MJO12 Apollo Beach,M0338,Tampa Bay,USA,27.7819,-82.4162,27.78213004,-82.41626371,exact,10,,outer,,estuarine,,,,2010,0.30,N,,,,,
Osland et al 2012,,Y,in,"M. J. Osland, mosland@usgs.gov",MJO12 Bullfrog Creek,M0339,Tampa Bay,USA,27.8346,-82.3899,27.8346,-82.3899,exact,10,,outer,,estuarine,,,,2010,0.30,N,,,,,
Marchio et al 2016,,Y,in,"W. J. Mitsch, wmitsch@fgcu.edu",DAM16 SC Basin,M0340,Naples Bay,USA,26.086661,-81.77043,26.086661,-81.77043,estimated from GE,100,,back/central,,riverine,,,,2013,0.32,Y,,,,0.5,50
Marchio et al 2016,,Y,in,"W. J. Mitsch, wmitsch@fgcu.edu",DAM16 HA Basin,M0341,Naples Bay,USA,26.100468,-81.7826,26.100468,-81.7826,estimated from GE,100,,central,,riverine,,,,2013,0.32,Y,,,,0.47,50
Marchio et al 2016,,Y,out,"W. J. Mitsch, wmitsch@fgcu.edu",DAM16 SC Fringe,M0342,Naples Bay,USA,26.089686,-81.784264,26.08950352,-81.78412625,estimated from GE,100,,outer,,estuarine,,,,2013,0.26,Y,,,,1.27,50
Marchio et al 2016,,Y,in,"W. J. Mitsch, wmitsch@fgcu.edu",DAM16 HA Fringe,M0343,Naples Bay,USA,26.096171,-81.784197,26.096171,-81.784197,estimated from GE,100,,outer,,estuarine,,,,2013,0.22,Y,,,,0.74,50
Marchio et al 2016,,Y,in,"W. J. Mitsch, wmitsch@fgcu.edu",DAM16 SC Riverine,M0344,Naples Bay,USA,26.088179,-81.78075,26.088179,-81.78075,estimated from GE,100,,outer,,riverine,,,,2013,0.32,Y,,,,1.62,50
Marchio et al 2016,,Y,in,"W. J. Mitsch, wmitsch@fgcu.edu",DAM16 HA Riverine,M0345,Naples Bay,USA,26.096911,-81.782674,26.096911,-81.782674,estimated from GE,100,,outer,,riverine,,,,2013,0.22,Y,,,,1.26,50
Marchio et al 2016,,Y,out,"W. J. Mitsch, wmitsch@fgcu.edu",DAM16 SC Dwarf,M0346,Naples Bay,USA,26.088127,-81.772269,26.08812391,-81.7721588,approximate,200,,back,,riverine,,,,2013,0.18,Y,,,,0.21,50
